nombre,precio,descripcion,categoria
MARIA BONITA,196,"Deliciosas tostadas francesas de pan brioche de la casa con azúcar y canela, miel maple, mermelada de fresa y plátano.",DESAYUNO-CENA
 MUCHO CORAZON,187,"Con nuestro pan de la casa, acompañado de una mezcla de pollo dorado, cebolla caramelizada, hongos y queso Monterrey Jack.",DESAYUNO-CENA
ADORO,183,"Con nuestro pan de la casa, acompañado de huevo revuelto con queso amarillo.",DESAYUNO-CENA
LUNA DE MIEL,189,"Omellete de huevo acompañado de queso panela, champiñones y espinaca",DESAYUNO-CENA
CAFE AMERICANO MAQUINA,59,"Americano de máquina, suave y reconfortante.",BEBIDAS CALIENTES
CAFE CAPUCHINO,73,Capuchino cremoso con espuma de leche.,BEBIDAS CALIENTES
CAFFE LATTE,69,"Latte sedoso, abrazo líquido matutino.",BEBIDAS CALIENTES
JUGO DE NARANJA,75,"Jugo de naranja natural, sol líquido.",BEBIDAS FRIAS
JUGO VERDE,75,"Jugo verde detox, pura energía vital.",BEBIDAS FRIAS
BOLITAS DE QUESO,40,"Bolitas de queso, bocados dorados de felicidad.",PANADERIA DULCE
CONCHAS BRIOCHE,40,"Conchas de brioche, suaves y cubiertas de dulce.",PANADERIA DULCE
CHOCOLATINA,65,"Chocolatina artesanal, capas de chocolate.",PANADERIA DULCE
ROL DE CANELA,55,"Rol de canela, espiral de dulce calidez.",PANADERIA DULCE
ROL DE CANELA BRIOCHE,40,"Rol de canela brioche, esponjoso y canela.",PANADERIA DULCE
CROISANT NATURAL,50,"Croissant natural, hojaldre y mantequilla.",PANADERIA DULCE
ROL DE TOCINO QUESO DE BOLA,73,Rol salado de tocino y queso de bola.,PANADERIA DULCE
BARRA BRIOCHE,139,"Barra brioche, suave y versátil.",PANADERIA SALADA
BARRA INTEGRAL,127,"Barra integral, fibra y sabor.",PANADERIA SALADA
BARRA MASA MADRE,159,"Barra masa madre, fermentación natural.",PANADERIA SALADA
BAGUETTE,32,"Baguette clásica, corteza dorada y crujiente.",PANADERIA SALADA
HOGAZA MASA MADRE,200,"Hogaza masa madre, rústica y artesanal.",PANADERIA SALADA
HOGAZA SENCILLA,105,"Hogaza sencilla, pan de toda la vida.",PANADERIA SALADA
Miel 600,75,"Miel pura de la selva, dulzura natural.",PRODUCTOS LOCALES
Miel Selva dorada LITRO ,180,"Miel Selva Dorada, litro de oro líquido.",PRODUCTOS LOCALES
MIEL SERVA DORADA 345 gr. ,75,"Miel Selva Dorada 345g, tesoro en frasco.",PRODUCTOS LOCALES
SMOOTHIE TROPICAL,83,"Smoothie tropical, un paraíso en vaso.",BEBIDAS FRIAS
SMOOTHIE FAROLITO,83,"Smoothie farolito, dulce y refrescante.",BEBIDAS FRIAS
FRAPPE DE LA CASA,79,"Frappé de la casa, cremoso y helado.",BEBIDAS FRIAS
PAN HAMBURGUESA HIGH SCORE,15,"Pan de hamburguesa High Score, esponjoso.",PANADERIA SALADA
PAN BOLLO BRIOCHE HAMBURGUESA,18,"Bollo brioche para hamburguesa, suave.",PANADERIA SALADA
PAN DE HAMBURGUESA ROMELIA,16,"Pan de hamburguesa Romelia, artesanal.",PANADERIA SALADA
PAN FRIO,80,"Pan frío, suave y esponjoso.",PANADERIA DULCE
AMORCITO CORAZON,185,"Amorcito corazón, desayuno con cariño.",DESAYUNO-CENA
PASTEL ZANAHORIA,450,"Pastel de zanahoria, húmedo y especiado.",POSTRES
REBANADA ZANAHORIA,65,"Rebanada de pastel de zanahoria, dulce y húmeda.",PANADERIA DULCE
PAN JAMON Y QUESO,65,"Pan de jamón y queso, clásico irresistible.",PANADERIA DULCE
DELIRIO HUEVO,198,"Delirio de huevo, sabor que enloquece.",DESAYUNO-CENA
DELIRIO POLLO,233,"Delirio de pollo, irresistible.",DESAYUNO-CENA
LECHE ALMENDRA,15,"Leche de almendra, suave y vegetal.",BEBIDAS FRIAS
CAFE AMERICANO REFIL,59,"Americano de refil, el clásico que nunca falla.",BEBIDAS CALIENTES
CAPUCHINO CON ALMENDRA,79,Capuchino con un sutil aroma a almendra.,BEBIDAS CALIENTES
VELAS AROMITICA PEQUEÑA,160,"Vela aromática pequeña, luz y perfume.",PRODUCTOS LOCALES
